PROCESSO_ANATEL;PROTOCOLO_DATA;ACORDO_TIPO;PRESTADORA_1_CNPJ;PRESTADORA_1;PRESTADORA_1_SERV_MOD;PRESTADORA_2_CNPJ;PRESTADORA_2;PRESTADORA_2_SERV_MOD;DESPACHO_DECISORIO_SEI;DESPACHO_DECISORIO_DATA;CONCLUSAO_DATA;OBSERVACAO
53500.018782/2019-87;13/05/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;07.685.452/0001-01;VMAX-NET TELECOMUNICAÇÕES DO BRASIL LTDA - EPP;STFC-LOCAL;4465043;26/08/2019;26/08/2019;Classe: I.
53500.035198/2018-13;27/07/2018;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;12.974.396/0001-57;IVELOZ TELECOM SERVIÇOS EM TELECOMUNICAÇÕES LTDA - EPP;STFC-LOCAL/LDN/LDI;4948846;28/11/2019;27/11/2019;Classe: II.
53500.016735/2019-07;29/04/2019;CONTRATO;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-SMP-LOCAL/LDN/LDI;07.685.452/0001-01;VMAX-NET TELECOMUNICAÇÕES DO BRASIL LTDA - EPP;STFC-SMP-LOCAL/LDN/LDI;4787149;26/11/2019;01/11/2019;
53500.018796/2019-09;13/05/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;07.685.452/0001-01;VMAX-NET TELECOMUNICAÇÕES DO BRASIL LTDA - EPP;STFC-LOCAL;4797140;07/11/2019;01/11/2019;Classe: II.
53500.021604/2019-33;31/05/2019;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;08.902.203/0001-85;BALDUSSI SOLUÇÕES LTDA - ME;STFC-LOCAL;4816045;28/11/2019;27/11/2019;
53500.021604/2019-33;31/05/2019;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;08.902.203/0001-85;BALDUSSI SOLUÇÕES LTDA - ME;STFC-LOCAL;4816096;28/11/2019;27/11/2019;
53500.021604/2019-33;31/05/2019;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN;08.902.203/0001-85;BALDUSSI SOLUÇÕES LTDA - ME;STFC-LOCAL;4816403;28/11/2019;27/11/2019;
53500.021552/2019-03;31/05/2019;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;05.801.781/0001-28;LIZITEC INFORMÁTICA LTDA - ME;STFC-LDN;4820961;26/11/2019;01/11/2019;
53500.021516/2019-31;31/05/2019;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;11.743.904/0001-23;VETT - VIA EXPRESS TECNOLOGIA E TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4822857;28/11/2019;27/11/2019;
53500.021516/2019-31;31/05/2019;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN-LDI;11.743.904/0001-23;VETT - VIA EXPRESS TECNOLOGIA E TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4822893;28/11/2019;27/11/2019;
53500.021516/2019-31;31/05/2019;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;11.743.904/0001-23;VETT - VIA EXPRESS TECNOLOGIA E TELECOMUNICAÇÕES LTDA;STFC-LDN-LDI;4822901;28/11/2019;27/11/2019;
53500.021516/2019-31;31/05/2019;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;11.743.904/0001-23;VETT - VIA EXPRESS TECNOLOGIA E TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4822930;28/11/2019;27/11/2019;
53500.021518/2019-21;31/05/2019;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;18.968.664/0001-04;GW TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4826828;28/11/2019;27/11/2019;
53500.021518/2019-21;31/05/2019;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;18.968.664/0001-04;GW TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4826841;28/11/2019;27/11/2019;
53500.021518/2019-21;31/05/2019;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;18.968.664/0001-04;GW TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4826847;28/11/2019;27/11/2019;
53500.021488/2019-52;31/05/2019;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;01.907.811/0001-33;ULTRACOM TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4827331;28/11/2019;27/11/2019;
53500.021488/2019-52;31/05/2019;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;01.907.811/0001-33;ULTRACOM TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4827337;28/11/2019;27/11/2019;
53500.021488/2019-52;31/05/2019;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN/LDI;01.907.811/0001-33;ULTRACOM TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4827359;28/11/2019;27/11/2019;
53500.021567/2019-63;31/05/2019;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;05.236.051/0002-11;OPÇÃONET INFORMÁTICA LTDA - EPP;STFC-LDN;4827860;28/11/2019;27/11/2019;
53500.021486/2019-63;31/05/2019;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;09.049.228/0001-40;TMW TELECOM;STFC-LOCAL;4831404;28/11/2019;27/11/2019;
53500.021486/2019-63;31/05/2019;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;09.049.228/0001-40;TMW TELECOM;STFC-LOCAL;4831426;28/11/2019;27/11/2019;
53500.021486/2019-63;31/05/2019;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;09.049.228/0001-40;TMW TELECOM;STFC-LOCAL;4831431;28/11/2019;27/11/2019;
53500.021575/2019-18;31/05/2019;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;08.339.512/0001-99;GRANDI SISTEMAS DE INFORMAÇÕES LTDA (GRANDI TELECOM);STFC-LOCAL;4833414;28/11/2019;27/11/2019;
53500.021575/2019-18;31/05/2019;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN;08.339.512/0001-99;GRANDI SISTEMAS DE INFORMAÇÕES LTDA (GRANDI TELECOM);STFC-LOCAL;4833435;28/11/2019;27/11/2019;
53500.021484/2019-74;31/05/2019;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;05.132.549/0001-53;S.O. DO BRASIL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4833995;28/11/2019;27/11/2019;
53500.021484/2019-74;31/05/2019;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;05.132.549/0001-53;S.O. DO BRASIL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4834008;28/11/2019;27/11/2019;
53500.021484/2019-74;31/05/2019;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN/LDI;05.132.549/0001-53;S.O. DO BRASIL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4834016;28/11/2019;27/11/2019;
53500.023484/2019-17;12/06/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;01.778.972/0001-74;AMÉRICA NET LTDA;SMP;4895923;04/12/2019;27/11/2019;Classe: IV.
53500.023486/2019-06;12/06/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;06.910.203/0001-00;CZNET TELECOM;STFC-LOCAL;4896547;04/12/2019;27/11/2019;Classe: I.
53500.023515/2019-21;12/06/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;06.910.203/0001-00;CZNET TELECOM;STFC-LOCAL;4905258;04/12/2019;27/11/2019;Classe: II.
53500.023516/2019-76;12/06/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;02.512.731/0001-41;EMPIRE SERVIÇOS DE INTERNET EIRELI - EPP;STFC-LOCAL;4905635;04/12/2019;27/11/2019;Classe: I.
53500.023518/2019-65;12/06/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;10.995.526/0001-02;EQUATORIAL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4894420;28/11/2019;27/11/2019;Classe: I.
53500.023519/2019-18;12/06/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;10.995.526/0001-02;EQUATORIAL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4907334;04/12/2019;27/11/2019;Classe: I.
53500.023521/2019-89;12/06/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;08.218.558/0001-50;GIGANET SERVIÇOS DE INTERNET LTDA - ME;STFC-LOCAL;4907550;04/12/2019;27/11/2019;Classe: II.
53500.023525/2019-67;12/06/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;08.218.558/0001-50;GIGANET SERVIÇOS DE INTERNET LTDA - ME;STFC-LOCAL;4908379;06/12/2019;27/11/2019;Classe: I.
53500.023567/2019-06;12/06/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;10.866.723/0001-21;FOCO SERVIÇOS DE TELECOMUNICAÇÕES EIRELI;STFC-LOCAL;4930356;06/12/2019;27/11/2019;Classe: I.
53500.027584/2019-12;11/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;10.866.723/0001-21;FOCO SERVIÇOS DE TELECOMUNICAÇÕES EIRELI;STFC-LOCAL;4955014;10/12/2019;03/12/2019;Classe: II.
53500.027566/2019-22;11/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL;10.866.723/0001-21;FOCO SERVIÇOS DE TELECOMUNICAÇÕES EIRELI;STFC-LOCAL;4954993;10/12/2019;03/12/2019;Classe: I.
53500.027955/2019-58;15/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL;01.778.972/0001-74;AMÉRICA NET LTDA;SMP;4954956;10/12/2019;03/12/2019;Classe: II.
53500.027957/2019-47;15/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;01.778.972/0001-74;AMÉRICA NET LTDA;SMP;4954915;10/12/2019;03/12/2019;Classe: II.
53500.028050/2019-03;16/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL;19.994.894/0001-00;INFINITUS BRASIL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4953249;10/12/2019;03/12/2019;Classe: I.
53500.028053/2019-39;16/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;19.994.894/0001-00;INFINITUS BRASIL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4948050;10/12/2019;03/12/2019;Classe: I.
53500.028055/2019-28;16/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;19.994.894/0001-00;INFINITUS BRASIL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4945842;10/12/2019;03/12/2019;Classe: II.
53500.028064/2019-19;16/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;03.988.184/0001-38;GUIFAMI INFORMÁTICA LTDA - EPP;STFC-LOCAL;4943833;10/12/2019;03/12/2019;Classe: II.
53500.028098/2019-11;16/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;13.859.862/0001-16;ADVANCE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4942799;10/12/2019;03/12/2019;Classe: I.
53500.028102/2019-33;16/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;13.859.862/0001-16;ADVANCE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4941545;06/12/2019;28/11/2019;Classe: II.
53500.028119/2019-91;16/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;10.480.844/0001-30;AGIL COMERCIAL DO BRASIL INFORMÁTICA E COMUNICAÇÃO LTDA;STFC-LOCAL;4937261;06/12/2019;28/11/2019;Classe: II.
53500.028121/2019-60;16/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;10.480.844/0001-30;AGIL COMERCIAL DO BRASIL INFORMÁTICA E COMUNICAÇÃO LTDA;STFC-LOCAL;4937171;06/12/2019;28/11/2019;Classe: I.
53500.028125/2019-48;16/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;10.480.844/0001-30;AGIL COMERCIAL DO BRASIL INFORMÁTICA E COMUNICAÇÃO LTDA;STFC-LOCAL;4936836;06/12/2019;28/11/2019;Classe: I.
53500.028140/2019-96;16/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;05.896.206/0001-65;BRASREDE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4936066;10/12/2019;02/12/2019;Classe: I.
53500.028142/2019-85;16/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;05.896.206/0001-65;BRASREDE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4931387;06/12/2019;27/11/2019;Classe: II.
53500.028152/2019-11;16/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;02.512.731/0001-41;EMPIRE SERVIÇOS DE INTERNET EIRELI - EPP;STFC-LOCAL;4871255;27/11/2019;25/11/2019;Classe: I.
53500.028164/2019-45;16/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;02.512.731/0001-41;EMPIRE SERVIÇOS DE INTERNET EIRELI - EPP;STFC-LOCAL;4871939;27/11/2019;25/11/2019;Classe: II.
53500.029386/2019-85;25/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;10.995.526/0001-02;EQUATORIAL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4872546;27/11/2019;25/11/2019;Classe: II.
53500.029394/2019-21;25/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;10.995.526/0001-02;EQUATORIAL TELECOMUNICAÇÕES LTDA;STFC-LDN-LDI;4872737;27/11/2019;25/11/2019;Classe: II.
53500.029374/2019-51;25/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;10.995.526/0001-02;EQUATORIAL TELECOMUNICAÇÕES LTDA;STFC-LDN-LDI;4872236;27/11/2019;25/11/2019;Classe: I.
53500.029532/2019-72;26/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;08.664.106/0001-00;MELO TELECOMUNICAÇÕES LTDA-ME (GIGA BYTE TELECOM);STFC-LOCAL;4872881;27/11/2019;25/11/2019;Classe: I.
53500.029543/2019-52;26/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;08.664.106/0001-00;MELO TELECOMUNICAÇÕES LTDA-ME (GIGA BYTE TELECOM);STFC-LOCAL;4873540;27/11/2019;25/11/2019;Classe: I.
53500.029550/2019-54;26/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;08.664.106/0001-00;MELO TELECOMUNICAÇÕES LTDA-ME (GIGA BYTE TELECOM);STFC-LOCAL;4877858;27/11/2019;25/11/2019;Classe: II.
53500.029600/2019-01;26/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;08.218.558/0001-50;GIGANET SERVIÇOS DE INTERNET LTDA - ME;STFC-LOCAL;4944407;09/12/2019;02/12/2019;Classe: I.
53500.029609/2019-12;26/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;08.218.558/0001-50;GIGANET SERVIÇOS DE INTERNET LTDA - ME;STFC-LOCAL;4944801;29/11/2019;28/11/2019;Classe: I.
53500.029612/2019-28;26/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;08.218.558/0001-50;GIGANET SERVIÇOS DE INTERNET LTDA - ME;STFC-LOCAL;4945123;09/12/2019;02/12/2019;Classe: II.
53500.029799/2019-60;29/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;24.394.151/0001-30;HOSANNA TELECOM LTDA - ME;STFC-LOCAL;4945288;10/12/2019;02/12/2019;Classe: I.
53500.029808/2019-12;29/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;24.394.151/0001-30;HOSANNA TELECOM LTDA - ME;STFC-LOCAL;4946342;10/12/2019;02/12/2019;Classe: I.
53500.029816/2019-69;29/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;24.394.151/0001-30;HOSANNA TELECOM LTDA - ME;STFC-LOCAL;4946875;10/12/2019;02/12/2019;Classe: II.
53500.029869/2019-80;29/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;18.220.100/0001-99;INTERIP TECNOLOGIA;STFC-LDN-LDI;4946942;10/12/2019;02/12/2019;Classe: I.
53500.029875/2019-37;29/07/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;18.220.100/0001-99;INTERIP TECNOLOGIA;STFC-LDN-LDI;4947079;28/11/2019;27/11/2019;Classe: II.
53500.029879/2019-15;29/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;05.801.781/0001-28;LIZITEC INFORMÁTICA LTDA - ME;STFC-LDN-LDI;4909053;20/12/2019;18/12/2019;Classe: I.
53500.029966/2019-72;30/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;06.007.608/0001-24;ROSIMARA BERTOLUCI SASSI SAMPAIO EIRELI (MEGA NET);STFC-LOCAL;4943738;20/12/2019;18/12/2019;Classe: I.
53500.029977/2019-52;30/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;06.007.608/0001-24;ROSIMARA BERTOLUCI SASSI SAMPAIO EIRELI (MEGA NET);STFC-LOCAL;4943964;20/12/2019;18/12/2019;Classe: I.
53500.029980/2019-76;30/07/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;06.007.608/0001-24;ROSIMARA BERTOLUCI SASSI SAMPAIO EIRELI (MEGA NET);STFC-LOCAL;4949565;20/12/2019;18/12/2019;Classe: II.
53500.032203/2019-17;13/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;07.570.207/0001-40;NET BOTANIC INTERNET INTELIGENTE LTDA.;STFC-LOCAL;4949796;20/12/2019;18/12/2019;Classe: I.
53500.032214/2019-99;13/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;07.570.207/0001-40;NET BOTANIC INTERNET INTELIGENTE LTDA.;STFC-LOCAL;4949870;20/12/2019;18/12/2019;Classe: II.
53500.032587/2019-60;15/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;23.592.064/0001-24;RBR TELECOM SERVIÇOS DE TELEFONIA EIRELI;STFC-LOCAL;5003813;20/12/2019;18/12/2019;Classe: I.
53500.032799/2019-47;16/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;28.103.502/0001-67;ADOT SERVIÇOS PROFISSIONAIS E TECNOLOGIA - EIRELI;STFC-LOCAL;5011303;20/12/2019;18/12/2019;
53500.032797/2019-58;16/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;28.103.502/0001-67;ADOT SERVIÇOS PROFISSIONAIS E TECNOLOGIA - EIRELI;STFC-LOCAL;5011343;20/12/2019;18/12/2019;
53500.032796/2019-11;16/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;28.103.502/0001-67;ADOT SERVIÇOS PROFISSIONAIS E TECNOLOGIA - EIRELI;STFC-LDN-LDI;5011385;20/12/2019;18/12/2019;
53500.032591/2019-28;15/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;23.592.064/0001-24;RBR TELECOM SERVIÇOS DE TELEFONIA EIRELI;STFC-LOCAL;5034325;20/12/2019;18/12/2019;Classe: I.
53500.032594/2019-61;15/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;23.592.064/0001-24;RBR TELECOM SERVIÇOS DE TELEFONIA EIRELI;STFC-LOCAL;5034567;20/12/2019;18/12/2019;Classe: II.
53500.032794/2019-14;16/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;28.103.502/0001-67;ADOT SERVIÇOS PROFISSIONAIS E TECNOLOGIA - EIRELI;STFC-LOCAL;5011464;20/12/2019;18/12/2019;
53500.032972/2019-15;19/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;06.312.970/0001-09;NEOREDE TELECOMUNICAÇÃO EIRELI;STFC-LOCAL;5029724;20/12/2019;18/12/2019;Classe: I.
53500.032979/2019-29;19/08/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;06.312.970/0001-09;NEOREDE TELECOMUNICAÇÃO EIRELI;STFC-LOCAL;5029750;20/12/2019;18/12/2019;Classe: I.
53500.032987/2019-75;19/08/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;06.312.970/0001-09;NEOREDE TELECOMUNICAÇÃO EIRELI;STFC-LOCAL;5029771;26/12/2019;18/12/2019;Classe: II.
53500.033297/2019-33;21/08/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;08.750.868/0001-10;REDE CONESUL TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL;5035176;26/12/2019;18/12/2019;Classe: II.
53500.033219/2019-39;20/08/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;14.745.984/0001-44;PONTAL TELECOMUNICAÇÕES EIRELI;STFC-LOCAL;4867943;09/12/2019;09/12/2019;Classe: II.
53500.033184/2019-38;20/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;12.913.472/0001-14;NEW GROUP TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4875635;10/12/2019;10/12/2019;Classe: II.
53500.033376/2019-44;21/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;18.968.664/0001-04;GW TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4876731;16/12/2019;02/12/2019;Classe: II.
53500.033358/2019-62;21/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;18.968.664/0001-04;GW TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4882822;16/12/2019;02/12/2019;Classe: I.
53500.033354/2019-84;21/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;18.968.664/0001-04;GW TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4883165;16/12/2019;02/12/2019;Classe: I.
53500.034073/2019-49;26/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;23.323.113/0001-23;TW SOLUTIONS TELECOMUNICAÇÕES EIRELI - ME;STFC-LOCAL;4894878;16/12/2019;02/12/2019;Classe: I.
53500.034192/2019-00;27/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;23.323.113/0001-23;TW SOLUTIONS TELECOMUNICAÇÕES EIRELI - ME;STFC-LOCAL;4895907;16/12/2019;02/12/2019;Classe: I.
53500.034198/2019-79;27/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;23.323.113/0001-23;TW SOLUTIONS TELECOMUNICAÇÕES EIRELI - ME;STFC-LOCAL;4896210;16/12/2019;02/12/2019;Classe: II.
53500.034665/2019-61;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;23.967.653/0001-40;TVC SERVIÇOS DE COMUNICAÇÃO LTDA - ME;STFC-LOCAL;4896501;13/12/2019;02/12/2019;Classe: II.
53500.034663/2019-71;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;23.967.653/0001-40;TVC SERVIÇOS DE COMUNICAÇÃO LTDA - ME;STFC-LOCAL;4896619;13/12/2019;02/12/2019;Classe: I.
53500.034621/2019-31;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;06.236.865/0001-38;GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA;STFC-LOCAL;4902138;13/12/2019;02/12/2019;Classe: II.
53500.034618/2019-17;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;06.236.865/0001-38;GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA;STFC-LOCAL;4902288;13/12/2019;02/12/2019;Classe: I.
53500.034617/2019-72;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;06.236.865/0001-38;GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA;STFC-LOCAL;4902414;13/12/2019;02/12/2019;Classe: I.
53500.034602/2019-12;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;08.190.344/0001-12;DEFERRARI SOLUÇÕES EM INTERNET LTDA;STFC-LDN-LDI;4951237;13/12/2019;03/12/2019;Classe: II.
53500.034600/2019-15;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;08.190.344/0001-12;DEFERRARI SOLUÇÕES EM INTERNET LTDA;STFC-LOCAL;4906947;13/12/2019;02/12/2019;Classe: II.
53500.034599/2019-29;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;08.190.344/0001-12;DEFERRARI SOLUÇÕES EM INTERNET LTDA;STFC-LOCAL;5034015;19/12/2019;18/12/2019;Classe: I.
53500.034597/2019-30;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;08.190.344/0001-12;DEFERRARI SOLUÇÕES EM INTERNET LTDA;STFC-LDN-LDI;4951063;13/12/2019;02/12/2019;
53500.034594/2019-04;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;08.190.344/0001-12;DEFERRARI SOLUÇÕES EM INTERNET LTDA;STFC-LOCAL;4936117;13/12/2019;02/12/2019;Classe: I.
53500.034577/2019-69;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;SMP;00.413.707/0001-20;BITCOM PROVEDOR DE SERVIÇOS DE INTERNET LTDA;STFC-LOCAL;4936281;13/12/2019;02/12/2019;Classe: II.
53500.034574/2019-25;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LDN-LDI;00.413.707/0001-20;BITCOM PROVEDOR DE SERVIÇOS DE INTERNET LTDA;STFC-LOCAL;4936886;16/12/2019;02/12/2019;Classe: I.
53500.034573/2019-81;29/08/2019;CONTRATO;02.421.421/0001-11;TIM S.A.;STFC-LOCAL;00.413.707/0001-20;BITCOM PROVEDOR DE SERVIÇOS DE INTERNET LTDA;STFC-LOCAL;4936559;16/12/2019;02/12/2019;Classe: I.
53500.034391/2019-18;28/08/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;11.509.434/0001-38;PAULO DE TARSO DE CARVALHO BAYMA FILHO – EPP (WIKI TELECOM);STFC-LOCAL;5035764;19/12/2019;18/12/2019;Classe: II.
53500.034389/2019-31;28/08/2019;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN-LDI;11.509.434/0001-38;PAULO DE TARSO DE CARVALHO BAYMA FILHO – EPP (WIKI TELECOM);STFC-LOCAL;5035665;19/12/2019;18/12/2019;Classe: I.
